crew_id,aircraft_type,qualification_level,valid_until
C00539,A321,PRIMARY,2028-12-31
C00540,A321,PRIMARY,2028-12-31
C00541,A321,PRIMARY,2028-12-31
C00542,B787,PRIMARY,2028-12-31
C00543,A380,PRIMARY,2028-12-31
C00544,B787,PRIMARY,2028-12-31
C00545,A380,PRIMARY,2028-12-31
C00545,A321,SECONDARY,2028-12-31
C00546,A321,PRIMARY,2028-12-31
C00547,A350,PRIMARY,2028-12-31
C00548,A380,PRIMARY,2028-12-31
C00549,A350,PRIMARY,2028-12-31
C00550,B777,PRIMARY,2028-12-31
C00551,B777,PRIMARY,2028-12-31
C00551,A380,SECONDARY,2028-12-31
C00552,A380,PRIMARY,2028-12-31
C00553,A380,PRIMARY,2028-12-31
C00554,A320,PRIMARY,2028-12-31
C00554,A350,SECONDARY,2028-12-31
C00555,A380,PRIMARY,2028-12-31
C00556,B777,PRIMARY,2028-12-31
C00557,A380,PRIMARY,2028-12-31
C00558,B777,PRIMARY,2028-12-31
C00559,A380,PRIMARY,2028-12-31
C00559,A321,SECONDARY,2028-12-31
C00560,A380,PRIMARY,2028-12-31
C00561,A320,PRIMARY,2028-12-31
C00562,A350,PRIMARY,2028-12-31
C00563,A320,PRIMARY,2028-12-31
C00564,A320,PRIMARY,2028-12-31
C00564,A350,SECONDARY,2028-12-31
C00565,A320,PRIMARY,2028-12-31
C00566,A350,PRIMARY,2028-12-31
C00567,B787,PRIMARY,2028-12-31
C00567,A380,SECONDARY,2028-12-31
C00568,B787,PRIMARY,2028-12-31
C00569,A350,PRIMARY,2028-12-31
C00570,B787,PRIMARY,2028-12-31
C00571,B777,PRIMARY,2028-12-31
C00572,A350,PRIMARY,2028-12-31
C00572,A321,SECONDARY,2028-12-31
C00573,A380,PRIMARY,2028-12-31
C00574,A320,PRIMARY,2028-12-31
C00575,A350,PRIMARY,2028-12-31
C00575,A320,SECONDARY,2028-12-31
C00576,A320,PRIMARY,2028-12-31
C00576,A350,SECONDARY,2028-12-31
C00577,B777,PRIMARY,2028-12-31
C00578,B777,PRIMARY,2028-12-31
C00579,A320,PRIMARY,2028-12-31
C00580,B787,PRIMARY,2028-12-31
C00581,B777,PRIMARY,2028-12-31
C00582,A380,PRIMARY,2028-12-31
C00583,B777,PRIMARY,2028-12-31
C00584,A350,PRIMARY,2028-12-31
C00585,A321,PRIMARY,2028-12-31
C00585,A380,SECONDARY,2028-12-31
C00586,A320,PRIMARY,2028-12-31
C00586,B787,SECONDARY,2028-12-31
C00587,A321,PRIMARY,2028-12-31
C00588,A321,PRIMARY,2028-12-31
C00589,A350,PRIMARY,2028-12-31
C00590,B777,PRIMARY,2028-12-31
C00591,A380,PRIMARY,2028-12-31
C00591,B787,SECONDARY,2028-12-31
C00592,A380,PRIMARY,2028-12-31
C00592,B787,SECONDARY,2028-12-31
C00593,B777,PRIMARY,2028-12-31
C00593,A380,SECONDARY,2028-12-31
C00594,A350,PRIMARY,2028-12-31
C00595,A320,PRIMARY,2028-12-31
C00596,A350,PRIMARY,2028-12-31
C00597,B787,PRIMARY,2028-12-31
C00597,B777,SECONDARY,2028-12-31
C00598,A350,PRIMARY,2028-12-31
C00598,A320,SECONDARY,2028-12-31
C00599,A380,PRIMARY,2028-12-31
C00600,B777,PRIMARY,2028-12-31
